name_id,安非他命,保證金,報導,背信,背信罪,被害人,編輯,併科,查扣,褫奪公權,出境,串證,調查處,調查局,定讞,訂購,毒品,二審,罰金,販毒,複訊,改判,高分院,公斤,公庫,國安局,合議庭,黑道,華航,緩刑,回扣,賄款,貨款,羈押,記者,減刑,檢調,交保,交易法,繳回,禁見,誆稱,廉政署,沒收,內線,潛逃,侵占,請回,取財,人頭,認罪,聲押,收賄,收受,收押,受騙,搜索,貪污,通緝,徒刑,偽造,文書,吸,吸金,洗錢,行賄,佯稱,易科,銀行法,有期徒刑,諭令,約談,詐貸,詐領,詐騙,詐欺,詐欺罪,詐取,招待,招攬,偵結,證交法,支票,治罪,重判,主嫌,走私
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.230841188135204,0,0,0,0,0,0,1.2992829841302609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0232018233569597,0,0,0,0,0,0,1.3945931639345857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3249145693921345,0,0,4.660289485209171,0,0,0,1.1049414237197572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08557850670578822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3577043922151253,0,0,5.065754593317335,0,0,0,1.1145108747359078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08902085089676097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76316950032329,0,0,1.8877007629693898,0,0,0,1.7335500831421313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2699640477205942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3577043922151253,0,0,1.2929936552226968,0,0,0,2.9256884298210646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44569579483549326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4266972637020765,0,0,1.2702654041451409,0,0,0,3.0508515727750707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45559686581820474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37260741275739,0,0,1.8076580552958532,0,0,0,3.561677196541061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7890884743012799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6794602321974446,0,0,1.8877007629693898,0,0,0,3.193952416415744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8172593512679763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0508515727750707,0,0,5.065754593317335,0,0,0,1.681364329971561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2156069916072767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
